id,product_code,image_file,brand,category,image_path
1,7005,WhatsApp Image 2026-05-08 at 9.12.06 PM (1).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.06 PM (1).jpeg
2,7005,WhatsApp Image 2026-05-08 at 9.12.06 PM (2).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.06 PM (2).jpeg
3,7005,WhatsApp Image 2026-05-08 at 9.12.06 PM (3).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.06 PM (3).jpeg
4,7005,WhatsApp Image 2026-05-08 at 9.12.06 PM (4).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.06 PM (4).jpeg
5,7008,WhatsApp Image 2026-05-08 at 9.12.06 PM (5).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.06 PM (5).jpeg
6,7008,WhatsApp Image 2026-05-08 at 9.12.06 PM (6).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.06 PM (6).jpeg
7,7005,WhatsApp Image 2026-05-08 at 9.12.06 PM(1).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.06 PM(1).jpeg
8,7008,WhatsApp Image 2026-05-08 at 9.12.07 PM (1).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.07 PM (1).jpeg
9,7008,WhatsApp Image 2026-05-08 at 9.12.07 PM (2).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.07 PM (2).jpeg
10,7008,WhatsApp Image 2026-05-08 at 9.12.07 PM (3).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.07 PM (3).jpeg
11,7008,WhatsApp Image 2026-05-08 at 9.12.07 PM (4).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.07 PM (4).jpeg
12,7008,WhatsApp Image 2026-05-08 at 9.12.07 PM (5).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.07 PM (5).jpeg
13,7008,WhatsApp Image 2026-05-08 at 9.12.07 PM (6).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.07 PM (6).jpeg
14,7201,WhatsApp Image 2026-05-08 at 9.12.07 PM (7).jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.07 PM (7).jpeg
15,7008,WhatsApp Image 2026-05-08 at 9.12.07 PM.jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.07 PM.jpeg
16,7201,WhatsApp Image 2026-05-08 at 9.12.08 PM (1).jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.08 PM (1).jpeg
17,7201,WhatsApp Image 2026-05-08 at 9.12.08 PM (2).jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.08 PM (2).jpeg
18,7202,WhatsApp Image 2026-05-08 at 9.12.08 PM (3).jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.08 PM (3).jpeg
